#{"t_start": 1776068034.2659597, "env_id": "None"}
r,l,t
-8.75,18,1.094887
1.75,18,1.105135
13.15,18,1.114377
12.15,18,1.123331
-8.5,18,1.132114
13.55,18,1.139965
15.05,18,1.148107
2.1,18,1.157518
13.95,18,1.166809
-8.8,18,1.172628
2.0,18,1.183803
-7.8,18,1.190328
14.0,18,1.200592
1.9,18,1.208689
-9.05,18,1.238625
-8.9,18,1.26038
1.55,18,1.268667
12.45,18,1.279777
11.7,18,1.291112
13.9,18,1.299003
13.15,18,1.306035
-8.55,18,1.318311
1.55,18,1.324299
2.2,18,1.335908
-8.55,18,1.347389
14.2,18,1.356409
12.15,18,1.365644
-7.95,18,1.374713
-8.7,18,1.40514
-7.95,18,1.40514
13.5,18,1.423275
14.0,18,1.4334
-8.25,18,1.445094
13.05,18,1.453583
-7.45,18,1.46256
15.7,18,1.470866
-9.05,18,1.479362
-8.25,18,1.488773
-9.15,18,1.493548
-8.75,18,1.505737
13.4,18,1.516193
-8.7,18,1.523664
12.45,18,1.559622
12.2,18,1.559622
-9.2,18,1.578923
3.7,18,1.583879
-8.75,18,1.596675
14.4,18,1.60506
-8.6,18,1.614079
11.55,18,1.621234
12.1,18,1.632229
13.1,18,1.64129
-6.75,18,1.650446
13.2,18,1.660074
2.15,18,1.669512
1.95,18,1.679518
-7.15,18,1.713836
12.9,18,1.721139
-8.9,18,1.729228
-7.4,18,1.737347
12.85,18,1.747383
-8.2,18,1.754572
-7.95,18,1.760451
-7.55,18,1.766453
2.65,18,1.778628
13.65,18,1.786717
12.8,18,1.795856
-8.6,18,1.805523
11.8,18,1.815225
-8.55,18,1.82134
-7.8,18,1.832328
14.85,18,1.862567
13.1,18,1.870733
2.95,18,1.877381
12.6,18,1.88875
13.6,18,1.89578
-8.7,18,1.906529
-8.05,18,1.915555
12.3,18,1.926008
1.6,18,1.933191
12.85,18,1.941303
-8.15,18,1.951536
12.15,18,1.959821
12.3,18,1.969592
14.2,18,1.97867
2.0,18,2.012235
12.65,18,2.021996
-7.3,18,2.028362
12.6,18,2.04052
12.65,18,2.050376
13.3,18,2.058165
12.05,18,2.068563
11.9,18,2.075407
-9.0,18,2.086755
-8.7,18,2.095781
-8.55,18,2.104951
-8.0,18,2.113854
13.85,18,2.122076
-8.75,18,2.130045
-7.3,18,2.16558
-8.6,18,2.16558
-8.75,18,2.179606
12.0,18,2.18973
-7.55,18,2.196642
-8.25,18,2.205947
13.1,18,2.214005
-7.0,18,2.223069
-8.05,18,2.2322
1.9,18,2.240343
-8.15,18,2.247258
-9.25,18,2.258572
2.65,18,2.263262
14.45,18,2.275351
-9.1,18,2.313036
-7.3,18,2.321907
11.8,18,2.331542
-8.55,18,2.340058
-8.1,18,2.350301
14.8,18,2.360609
-8.6,18,2.368323
-8.2,18,2.372769
12.25,18,2.38455
15.95,18,2.39292
-8.45,18,2.399725
-8.55,18,2.41047
12.75,18,2.414406
-8.5,18,2.427095
-7.8,18,2.432874
-7.3,18,2.471627
13.85,18,2.47463
-8.4,18,2.487259
12.85,18,2.497849
-6.6,18,2.506547
2.55,18,2.511693
-8.0,18,2.523046
-7.4,18,2.530113
12.95,18,2.537906
12.5,18,2.546283
-9.2,18,2.555972
-8.3,18,2.564451
11.65,18,2.573018
13.05,18,2.581199
12.35,18,2.61812
-8.35,18,2.620119
-7.6,18,2.634443
13.55,18,2.65089
1.8,18,2.663592
12.9,18,2.672663
12.75,18,2.68139
14.0,18,2.691706
12.25,18,2.6988
13.15,18,2.708381
-6.55,18,2.718372
-9.0,18,2.72666
12.5,18,2.735215
-9.15,18,2.744065
-7.35,18,2.777692
-8.9,18,2.777692
-7.45,18,2.797512
12.9,18,2.802166
13.35,18,2.814805
-8.55,18,2.822101
1.95,18,2.829064
-8.5,18,2.838131
-7.15,18,2.847003
2.4,18,2.851099
12.35,18,2.863112
13.25,18,2.874524
-9.1,18,2.881163
-8.2,18,2.892722
12.7,18,2.92719
12.05,18,2.93711
14.15,18,2.945515
-8.35,18,2.9556
-8.45,18,2.965471
-7.6,18,2.974026
12.3,18,2.983613
1.85,18,2.990824
-7.15,18,2.998067
13.5,18,3.008882
-8.55,18,3.017096
-8.85,18,3.026049
-7.0,18,3.032753
-9.5,18,3.043972
-7.7,18,3.075327
14.55,18,3.086584
2.7,18,3.093252
12.55,18,3.105215
3.7,18,3.111892
-6.5,18,3.120327
13.85,18,3.131123
12.95,18,3.139849
1.65,18,3.147899
12.25,18,3.158375
1.6,18,3.165976
13.95,18,3.175918
12.05,18,3.18711
-8.05,18,3.195777
-7.25,18,3.202914
12.25,18,3.23492
14.45,18,3.243321
-8.1,18,3.250804
14.85,18,3.259847
-8.85,18,3.269713
-7.8,18,3.277782
-6.75,18,3.286616
-8.3,18,3.293623
14.85,18,3.304974
-8.75,18,3.31162
12.1,18,3.322944
12.35,18,3.331825
2.0,18,3.341185
-7.6,18,3.350115
-7.25,18,3.383695
2.0,18,3.383695
1.8,18,3.402548
13.05,18,3.410888
-9.2,18,3.417972
13.1,18,3.426039
2.4,18,3.432653
12.15,18,3.444283
13.0,18,3.45084
-8.15,18,3.462383
11.85,18,3.47137
2.7,18,3.475366
13.55,18,3.489477
-7.85,18,3.496754
12.0,18,3.529951
13.7,18,3.539095
13.25,18,3.548519
-7.65,18,3.557421
-8.05,18,3.566464
1.4,18,3.577514
14.7,18,3.586515
-8.2,18,3.59568
-7.55,18,3.609056
13.15,18,3.626137
-7.5,18,3.637576
-9.2,18,3.646644
11.7,18,3.650819
-8.75,18,3.663159
1.7,18,3.699885
12.95,18,3.70796
12.05,18,3.718689
-7.6,18,3.723267
2.2,18,3.735577
13.85,18,3.745128
13.1,18,3.754293
-8.25,18,3.762398
16.45,18,3.772338
12.25,18,3.780489
-9.6,18,3.787663
-7.35,18,3.796839
-8.1,18,3.805196
-8.15,18,3.813963
12.8,18,3.822863
1.95,18,3.838371
12.95,18,3.858407
-8.3,18,3.868968
12.1,18,3.877083
15.9,18,3.886586
12.05,18,3.894026
12.45,18,3.899522
-8.8,18,3.911754
-7.45,18,3.919922
4.3,18,3.927156
-8.35,18,3.936297
13.65,18,3.947244
-8.3,18,3.955183
11.75,18,3.965423
-8.7,18,3.999822
-7.1,18,4.00841
2.4,18,4.019986
15.0,18,4.028096
12.5,18,4.036177
-8.4,18,4.045287
-7.9,18,4.052639
-8.6,18,4.135258
12.45,18,4.153046
-8.95,18,4.161921
12.9,18,4.166922
11.75,18,4.178653
13.0,18,4.192988
-8.6,18,4.199055
12.0,18,4.246084
1.85,18,4.258105
-7.7,18,4.27165
1.8,18,4.282661
-8.35,18,4.293762
-8.25,18,4.305541
-8.55,18,4.313174
-7.6,18,4.322985
-8.0,18,4.331989
3.4,18,4.342273
14.1,18,4.349582
11.8,18,4.36028
1.7,18,4.369344
13.75,18,4.378459
-8.4,18,4.414484
12.5,18,4.414484
-7.65,18,4.434013
-8.7,18,4.442893
12.55,18,4.452716
-8.4,18,4.46233
-8.65,18,4.469486
1.8,18,4.480481
12.25,18,4.487255
13.3,18,4.498661
-8.3,18,4.509472
1.35,18,4.519917
2.7,18,4.530079
-7.75,18,4.535724
12.5,18,4.573338
14.15,18,4.582428
-9.1,18,4.589587
-8.3,18,4.600989
-7.1,18,4.612778
-6.55,18,4.620946
-6.6,18,4.626717
2.0,18,4.63885
-8.2,18,4.648139
-9.25,18,4.656624
12.9,18,4.667295
-9.05,18,4.677283
12.1,18,4.685495
-9.1,18,4.69343
-8.45,18,4.70275
13.7,18,4.736209
13.4,18,4.741211
12.2,18,4.753234
-7.35,18,4.762313
-7.55,18,4.771386
12.2,18,4.780001
-8.75,18,4.788632
-8.2,18,4.79681
13.5,18,4.806583
14.15,18,4.814537
14.4,18,4.825958
-7.55,18,4.832753
14.45,18,4.845208
14.2,18,4.850736
12.05,18,4.888863
-8.3,18,4.892863
13.6,18,4.906319
12.35,18,4.911073
-9.0,18,4.923592
-8.8,18,4.931909
12.6,18,4.941086
-8.35,18,4.948256
2.0,18,4.953963
12.0,18,4.966282
-7.85,18,4.976729
-8.55,18,4.984666
1.35,18,4.992175
-8.85,18,5.003738
2.6,18,5.026026
12.35,18,5.044887
13.45,18,5.056211
