#{"t_start": 1776096173.95502, "env_id": "None"}
r,l,t
-8.4,18,1.968151
-9.05,18,1.980195
-7.4,18,1.985987
-8.7,18,2.012155
-5.85,18,2.024611
-8.65,18,2.039985
-8.65,18,2.050921
-9.05,18,2.069199
-8.85,18,2.080843
-5.6,18,2.105468
12.3,18,2.130522
-8.5,18,2.153078
-8.6,18,2.160554
-6.5,18,2.181685
-8.55,18,2.294107
-8.95,18,2.307667
-9.0,18,2.324604
-8.0,18,2.339697
-7.6,18,2.359092
-8.85,18,2.374341
-7.55,18,2.387446
-7.55,18,2.403547
11.85,18,2.4294
2.65,18,2.446308
-7.4,18,2.463523
12.95,18,2.477651
11.95,18,2.491884
-7.15,18,2.491884
-7.75,18,2.57481
-8.5,18,2.58865
14.1,18,2.604439
-8.55,18,2.620224
-8.8,18,2.636043
-8.75,18,2.655032
-9.2,18,2.673111
-8.9,18,2.692312
-8.65,18,2.704119
-7.35,18,2.716582
-8.4,18,2.730103
-8.65,18,2.739858
-8.7,18,2.75783
-8.6,18,2.773413
-8.8,18,2.842496
-9.1,18,2.862535
-7.45,18,2.883128
14.05,18,2.902397
13.4,18,2.920151
-7.7,18,2.936025
-8.0,18,2.954863
-7.65,18,2.969373
-7.6,18,2.988727
-7.05,18,3.004339
-8.15,18,3.017308
-7.6,18,3.02886
-7.6,18,3.039015
2.9,18,3.039015
14.6,18,3.106534
-8.65,18,3.119902
-8.6,18,3.132699
14.15,18,3.14449
-7.0,18,3.158271
-7.75,18,3.172075
1.85,18,3.183872
2.9,18,3.183872
-7.95,18,3.209825
-8.7,18,3.222103
13.6,18,3.275337
-7.6,18,3.287388
-8.5,18,3.300347
-6.3,18,3.313022
15.35,18,3.323936
13.45,18,3.425791
-6.75,18,3.4516
-8.0,18,3.4672
-9.05,18,3.485273
-8.7,18,3.497066
-7.85,18,3.508858
1.85,18,3.525327
-6.2,18,3.536975
-7.75,18,3.548156
12.95,18,3.561177
12.85,18,3.57341
13.1,18,3.585167
-7.55,18,3.59934
12.1,18,3.609122
13.0,18,3.703115
-7.85,18,3.729716
-9.0,18,3.743253
-7.5,18,3.7555
-7.15,18,3.771295
-7.5,18,3.785916
-8.9,18,3.799745
-7.2,18,3.810732
1.35,18,3.823781
11.85,18,3.837541
17.45,18,3.853304
-9.15,18,3.86471
-8.1,18,3.879499
-7.75,18,3.892738
-8.7,18,3.938893
-8.4,18,3.952652
-7.8,18,3.965229
-8.45,18,3.978978
1.85,18,3.991218
-8.15,18,4.004692
-8.8,18,4.01645
-7.05,18,4.026525
-8.9,18,4.040317
13.75,18,4.052103
-8.65,18,4.060086
-8.5,18,4.078208
-7.6,18,4.09168
-8.65,18,4.105796
-8.65,18,4.167922
-7.45,18,4.17994
-8.35,18,4.19118
-7.85,18,4.205478
-8.4,18,4.225211
-8.95,18,4.236969
1.6,18,4.249886
14.35,18,4.262905
-8.95,18,4.278668
12.65,18,4.293724
-8.95,18,4.306978
-7.9,18,4.31672
13.9,18,4.328737
-8.85,18,4.348245
2.55,18,4.360296
12.05,18,4.417439
-7.55,18,4.434022
1.7,18,4.449095
-7.45,18,4.461139
-8.55,18,4.474968
-7.95,18,4.488727
14.15,18,4.50429
-9.25,18,4.516606
14.3,18,4.532398
-7.7,18,4.544541
-7.4,18,4.558341
-8.35,18,4.572137
-9.0,18,4.584176
15.3,18,4.597782
-9.4,18,4.663433
-8.75,18,4.682579
-9.0,18,4.695436
-9.0,18,4.711457
-8.5,18,4.72401
-7.6,18,4.736073
-7.6,18,4.744385
-8.5,18,4.762263
1.5,18,4.772278
-8.05,18,4.786041
-9.45,18,4.798056
-8.85,18,4.807811
-6.95,18,4.823083
-8.85,18,4.833901
-8.4,18,4.889258
-9.0,18,4.903055
-7.1,18,4.914845
-6.4,18,4.930632
-9.4,18,4.943633
-9.05,18,4.954278
-8.65,18,4.962423
-8.5,18,4.978946
-8.65,18,4.992234
13.65,18,5.005547
-8.7,18,5.0176
-8.6,18,5.029648
-7.55,18,5.049392
2.25,18,5.061132
-9.45,18,5.111358
13.25,18,5.125117
-6.45,18,5.13513
-6.35,18,5.14889
14.75,18,5.161124
-7.55,18,5.174528
-9.0,18,5.184588
14.8,18,5.198333
2.55,18,5.212395
-9.05,18,5.226195
15.0,18,5.237979
-6.85,18,5.251643
-8.9,18,5.264483
12.8,18,5.275497
-6.5,18,5.341915
-8.9,18,5.359679
-9.25,18,5.37199
-7.35,18,5.384719
-8.7,18,5.397722
13.05,18,5.40874
-6.3,18,5.42241
12.0,18,5.436174
-8.9,18,5.449974
-9.0,18,5.462024
-7.9,18,5.477828
-8.35,18,5.4898
-9.1,18,5.504867
-9.15,18,5.514622
-8.55,18,5.528383
-7.45,18,5.576631
-8.95,18,5.59194
