#{"t_start": 1776073570.119304, "env_id": "None"}
r,l,t
13.45,18,0.861313
-8.4,18,0.869796
13.1,18,0.877213
12.3,18,0.885401
12.15,18,0.891827
14.4,18,0.891827
13.7,18,0.90322
12.1,18,0.90322
14.05,18,0.919257
-8.8,18,0.919257
12.15,18,0.935278
-7.85,18,0.935278
12.8,18,0.951186
-7.85,18,0.951186
-8.75,18,0.996488
-8.55,18,1.005463
-8.3,18,1.012573
-7.3,18,1.014573
12.45,18,1.028951
12.9,18,1.036697
-8.95,18,1.046448
-8.45,18,1.052454
1.55,18,1.061464
14.5,18,1.070474
-8.3,18,1.080225
13.35,18,1.087974
12.45,18,1.09572
-8.7,18,1.103468
1.85,18,1.138775
-8.0,18,1.146758
2.9,18,1.147758
1.8,18,1.161311
-8.2,18,1.174813
13.2,18,1.182837
-7.85,18,1.192866
16.55,18,1.202641
2.2,18,1.210409
12.45,18,1.220422
-9.0,18,1.228173
-8.7,18,1.237664
14.4,18,1.245673
1.25,18,1.255682
12.15,18,1.292169
-8.15,18,1.299261
-8.0,18,1.307575
-7.5,18,1.315325
-8.55,18,1.321331
-6.65,18,1.329079
-8.75,18,1.337087
11.6,18,1.344836
-8.3,18,1.352844
13.55,18,1.361353
-8.7,18,1.370605
12.3,18,1.379793
13.1,18,1.387097
12.1,18,1.396847
13.9,18,1.429656
13.7,18,1.436662
2.8,18,1.442991
3.0,18,1.451
14.6,18,1.45875
12.7,18,1.46726
-8.05,18,1.47677
-8.45,18,1.480515
-8.95,18,1.492529
15.5,18,1.502279
-7.45,18,1.510287
13.15,18,1.520097
-8.35,18,1.528123
-8.5,18,1.537896
-7.25,18,1.545921
14.65,18,1.580322
12.7,18,1.589174
-8.3,18,1.590174
-9.05,18,1.605839
-6.9,18,1.613589
11.95,18,1.621597
-8.55,18,1.631348
-9.0,18,1.639355
12.8,18,1.647103
12.9,18,1.656938
-8.05,18,1.663445
-8.05,18,1.672942
1.95,18,1.682973
-6.9,18,1.690734
12.0,18,1.7269
11.7,18,1.7377
12.9,18,1.744825
12.65,18,1.751867
12.95,18,1.759881
13.75,18,1.769405
2.6,18,1.777423
-8.7,18,1.78519
-8.95,18,1.793215
12.0,18,1.802105
2.1,18,1.810289
-8.15,18,1.820173
12.8,18,1.827922
11.3,18,1.833928
13.95,18,1.873001
-7.8,18,1.881035
-8.85,18,1.881035
1.55,18,1.899037
-9.15,18,1.907065
-8.4,18,1.914835
-8.4,18,1.924868
-8.5,18,1.932635
1.35,18,1.94066
-8.35,18,1.95043
13.35,18,1.958455
-9.2,18,1.965886
-8.35,18,1.975918
13.1,18,1.975918
-8.8,18,2.015144
12.8,18,2.024365
-8.5,18,2.032542
2.25,18,2.032542
-7.95,18,2.04823
13.15,18,2.058203
-8.1,18,2.067737
1.7,18,2.075761
12.25,18,2.085513
13.95,18,2.09352
-7.65,18,2.103272
15.25,18,2.11102
-8.1,18,2.120771
-8.45,18,2.130413
2.75,18,2.138163
13.15,18,2.174714
12.5,18,2.178722
-8.95,18,2.178722
12.1,18,2.200835
-7.9,18,2.20886
12.1,18,2.218635
2.0,18,2.227001
12.75,18,2.235015
13.1,18,2.242242
12.7,18,2.250251
-8.75,18,2.256256
11.95,18,2.263512
-8.4,18,2.27152
12.6,18,2.280042
-8.0,18,2.312102
11.85,18,2.323765
-7.2,18,2.329932
-8.1,18,2.340712
-8.2,18,2.34366
-7.85,18,2.357556
-8.45,18,2.365567
-8.75,18,2.371314
12.8,18,2.3788
1.95,18,2.386807
-7.95,18,2.394814
-7.5,18,2.402821
13.15,18,2.412051
-8.7,18,2.419537
-8.25,18,2.454935
-8.55,18,2.464054
-8.9,18,2.469053
12.55,18,2.469053
-7.85,18,2.486754
-8.55,18,2.494762
-8.4,18,2.504512
13.15,18,2.514262
-8.25,18,2.521287
-8.8,18,2.530775
12.55,18,2.538191
12.2,18,2.54794
-8.3,18,2.555948
13.05,18,2.561954
12.2,18,2.597235
12.7,18,2.602234
14.05,18,2.602234
-8.95,18,2.617937
3.05,18,2.625946
-7.4,18,2.633694
15.55,18,2.641703
12.3,18,2.651453
-7.05,18,2.659461
-8.85,18,2.667471
1.75,18,2.679223
1.65,18,2.68645
